GEOID20,District
34005140006,5
34005140007,5
34005140008,5
34005140009,5
34005145001,6
34005150001,6
34005150002,6
34005150003,6
34005150004,6
34005150005,6
34005150006,6
34005150007,6
34005150008,6
34005150009,6
34005150010,6
34005150011,6
34005150012,6
34005150013,6
34005150014,6
34005155001,5
34005155002,5
34005155003,5
34005155004,5
34005155005,5
34005155006,5
34005155007,5
34005155008,5
34005160001,5
34005160002,5
34005160003,5
34005165001,1
34005165002,1
34005165003,1
34005165004,1
34005170001,6
34005170002,6
34005170003,6
34005170004,6
34005170005,6
34005170006,6
34005175001,6
34005175002,6
34005175003,6
34005180001,1
34005180002,1
34005180003,1
34005180004,1
34005180005,1
34005185001,4
34005190001,7
34005190002,7
34005190003,6
34005190004,7
34005190005,6
34005192001,5
34005192002,5
34005192003,5
34005192004,5
34005192005,5
34005192006,7
34005192007,5
34005192008,5
34005192009,5
34005192010,5
34005192011,5
34005192012,5
34005192013,5
34005192014,5
34005192015,7
34005192016,7
34005192017,7
34005192018,7
34005192019,7
34005192020,5
34005192021,7
34005192022,7
34005192023,7
34005192024,7
34005192025,5
34005192026,7
34005192027,7
34005192028,7
34005192029,5
34005192030,5
34005192031,7
34005192032,7
34005192033,7
34005192034,5
34005192035,7
34005192036,7
34005195001,6
34005200001,6
34005200002,6
34005950009,7
34005950010,7
34007005001,7
34007005002,7
34007005003,5
34007005004,7
34007005005,7
34007005006,7
34007005007,7
34007005008,7
34007010001,7
34007015001,7
34007015002,7
34007015003,7
34007015004,7
34007015005,7
34007020001,7
34007020002,3
34007020003,3
34007020004,3
34007020005,3
34007020006,2
34007020007,7
34007025001,1
34007025002,1
34007025003,1
34007025004,1
34007025005,1
34007030001,1
34007030002,1
34007030003,1
34007035001,2
34007040101,5
34007040102,5
34007040103,5
34007040104,5
34007040105,5
34007040106,5
34007040107,5
34007040108,5
34007040109,5
34007040110,7
34007040201,5
34007040202,5
34007040203,5
34007040204,5
34007040205,5
34007040206,5
34007040207,5
34007040208,5
34007040209,5
34007040210,5
34007040211,5
34007040301,5
34007040302,5
34007040303,5
34007040304,5
34007040305,5
34007040306,5
34007040307,5
34007040308,5
34007040309,5
34007040401,5
34007040402,5
34007040403,5
34007040404,5
34007040405,5
34007040406,5
34007040407,5
34007040408,5
34007040409,5
34007040410,5
34007043001,5
34007043002,5
34007043003,5
34007043004,5
34007043005,7
34007043006,5
34007043007,7
34007043008,5
34007043009,5
34007043010,7
34007043011,5
34007043012,5
34007043013,7
34007043014,5
34007043015,5
34007043016,7
34007043017,5
34007043018,5
34007043019,7
34007043020,7
34007043021,5
34007043022,5
34007043023,5
34007043024,5
34007043025,5
34007043026,5
34007043027,7
34007043028,7
34007043029,7
34007043030,7
34007043031,5
34007043032,5
34007043033,7
34007043034,7
34007043035,5
34007043036,7
34007043037,7
34007043038,7
34007043039,7
34007043040,7
34007043041,5
34007043042,5
34007043043,7
34007043044,5
34007043045,5
34007043046,7
34007043047,7
34007043048,5
34007045001,3
34007050001,1
34007050002,1
34007050003,1
34007055001,5
34007055002,5
34007055003,5
34007055004,5
34007055005,5
34007055006,5
34007055007,5
34007055008,5
34007055009,5
34007055010,5
34007055011,5
34007055012,5
34007065001,7
34007065002,7
34007075001,1
34007075002,3
34007075003,1
34007075004,3
34007075005,3
34007075006,3
34007075007,3
34007075008,1
34007075009,7
34007075010,3
34007075011,1
34007075012,1
34007075013,3
34007075014,1
34007075015,1
34007075016,1
34007075017,3
34007075018,1
34007075019,1
34007075020,1
34007075021,1
34007075022,1
34007075023,1
34007075024,3
34007075025,1
34007075026,1
34007075027,1
34007075028,1
34007075029,3
34007075030,1
34007075031,1
34007075032,1
34007075033,3
34007075034,1
34007075035,3
34007075036,1
34007075037,1
34007075038,1
34007075039,1
34007075040,1
34007077101,2
34007077102,5
34007077103,2
34007077201,2
34007077202,2
34007077203,7
34007077301,2
34007077302,2
34007080001,5
34007080002,5
34007080003,5
34007080004,5
34007080005,5
34007080006,7
34007080007,5
34007080008,5
34007080009,5
34007080010,5
34007080011,5
34007080012,7
34007080013,5
34007080014,5
34007080015,5
34007085001,7
34007085002,5
34007085003,7
34007085004,7
34007085005,7
34007085006,7
34007085007,5
34007085008,5
34007085009,5
34007085010,5
34007090001,7
34007090002,7
34007090003,7
34007090004,7
34007090005,7
34007090006,7
34007090007,7
34007095001,1
34007100001,7
34007100002,1
34007105001,7
34007105002,7
34007110001,1
34007110002,1
34007110003,7
34007110004,7
34007110005,1
34007110006,1
34007110007,1
34007110008,1
34007110009,1
34007115001,7
34007115002,7
34007115003,7
34007115004,7
34007120001,5
34007120002,5
34007120003,5
34007125001,7
34007125002,7
34007125003,7
34007125004,7
34007130001,5
34007130002,5
34007130003,5
34007130004,7
34007135001,5
34007135002,5
34007135003,5
34007135004,5
34007135005,5
34007135006,5
34007135007,5
34007135008,5
34007135009,5
34007135010,5
34007135011,5
34007135012,5
34007135013,5
34007135014,5
34007135015,5
34007135016,5
34007135017,5
34007135018,5
34007135019,5
34007135020,5
34007135021,5
34007135022,5
34007135023,5
34007135024,5
34007140001,1
34007140002,1
34007140003,1
34007140004,1
34007140005,1
34007140006,1
34007145001,1
34007150001,7
34007150002,3
34007150003,7
34007150004,7
34007150005,7
34007150006,3
34007155001,7
34007155002,7
34007155003,7
34007155004,1
34007160001,7
34007160002,1
34007160003,7
34007160004,1
34007160005,7
34007160006,1
34007165001,7
34007170001,7
34007170002,7
34007170003,7
34007170004,7
34007170005,7
34007170006,7
34007170007,7
34007170008,7
34007170009,1
34007170010,7
34007170011,1
34007170012,7
34007170013,7
34007170014,7
34007170015,7
34007170016,1
34007170017,7
34007170018,7
34007170019,7
34007175001,1
34007175002,1
34007175003,1
34007175004,3
34007175005,1
34007175006,1
34007175007,1
34007175008,1
34007180101,3
34007180102,3
34007180103,3
34007180104,3
34007180105,3
34007180106,3
34007180201,1
34007180202,3
34007180203,1
34007180204,3
34007180205,1
34007180301,3
34007180302,3
34007180303,3
34007180304,3
34007180305,3
34007180306,1
34007180401,1
34007180402,3
34007180403,1
34007180404,3
34007180405,1
34007185001,5
34007185002,5
34009005001,2
